架次编号,航段序号,起点,终点,起点经度_度,起点纬度_度,终点经度_度,终点纬度_度,水平距离_m,计划巡航海拔_m,航段载重_kg,航段能耗_kWh
T01,1,O01,S006,109.2308517,23.0085095,109.1997836,23.007714,3186.208178,366.097839,59.0,1.604045
T01,2,S006,O01,109.1997836,23.007714,109.2308517,23.0085095,3186.208178,366.097839,0.0,0.993943
T02,1,O01,S001,109.2308517,23.0085095,109.2432319,23.0335927,3053.978843,273.05661,76.0,1.954336
T02,2,S001,O01,109.2432319,23.0335927,109.2308517,23.0085095,3053.978843,273.05661,0.0,0.963246
T03,1,O01,S001,109.2308517,23.0085095,109.2432319,23.0335927,3053.978843,273.05661,78.0,2.032523
T03,2,S001,O01,109.2432319,23.0335927,109.2308517,23.0085095,3053.978843,273.05661,0.0,0.963246
T04,1,O01,S002,109.2308517,23.0085095,109.2585519,23.0703271,7411.310455,308.954254,64.0,3.801587
T04,2,S002,O01,109.2585519,23.0703271,109.2308517,23.0085095,7411.310455,308.954254,0.0,2.304069
T05,1,O01,S007,109.2308517,23.0085095,109.1928191,23.0294186,4534.460567,511.973175,70.0,2.698153
T05,2,S007,S003,109.1928191,23.0294186,109.1688578,23.0402714,2734.261623,410.699341,64.0,1.400156
T05,3,S003,O01,109.1688578,23.0402714,109.2308517,23.0085095,7263.179256,561.804138,0.0,2.2939
T06,1,O01,S005,109.2308517,23.0085095,109.2283003,23.0561338,5280.606937,326.410889,59.0,2.562626
T06,2,S005,O01,109.2283003,23.0561338,109.2308517,23.0085095,5280.606937,326.410889,0.0,1.659567
T07,1,O01,S012,109.2308517,23.0085095,109.2831357,23.054464,7390.491687,413.300995,25.0,1.663788
T07,2,S012,O01,109.2831357,23.054464,109.2308517,23.0085095,7390.491687,413.300995,0.0,1.088627
T08,1,O01,S014,109.2308517,23.0085095,109.2835966,23.0052097,5419.601858,591.947388,25.0,1.306885
T08,2,S014,O01,109.2835966,23.0052097,109.2308517,23.0085095,5419.601858,591.947388,0.0,0.833504
T09,1,O01,S004,109.2308517,23.0085095,109.2381714,23.0778414,7714.696449,398.239166,20.0,1.524463
T09,2,S004,O01,109.2381714,23.0778414,109.2308517,23.0085095,7714.696449,398.239166,0.0,1.143906
T10,1,O01,S010,109.2308517,23.0085095,109.2760168,23.0194009,4784.494851,435.636536,25.0,1.119023
T10,2,S010,O01,109.2760168,23.0194009,109.2308517,23.0085095,4784.494851,435.636536,0.0,0.704173
T11,1,O01,S008,109.2308517,23.0085095,109.2127472,23.0795113,8079.033112,372.909332,25.0,1.795974
T11,2,S008,O01,109.2127472,23.0795113,109.2308517,23.0085095,8079.033112,372.909332,0.0,1.179243
T12,1,O01,S008,109.2308517,23.0085095,109.2127472,23.0795113,8079.033112,372.909332,20.0,1.584199
T12,2,S008,O01,109.2127472,23.0795113,109.2308517,23.0085095,8079.033112,372.909332,0.0,1.179243
T13,1,O01,S013,109.2308517,23.0085095,109.2713839,23.0310882,4849.242377,399.181824,22.0,1.140003
T13,2,S013,O01,109.2713839,23.0310882,109.2308517,23.0085095,4849.242377,399.181824,0.0,0.885443
T14,1,O01,S007,109.2308517,23.0085095,109.1928191,23.0294186,4534.460567,511.973175,22.0,1.11141
T14,2,S007,O01,109.1928191,23.0294186,109.2308517,23.0085095,4534.460567,511.973175,0.0,0.859512
T15,1,O01,S002,109.2308517,23.0085095,109.2585519,23.0703271,7411.310455,308.954254,20.0,1.618571
T15,2,S002,S013,109.2585519,23.0703271,109.2713839,23.0310882,4540.132863,377.210327,3.0,0.867648
T15,3,S013,O01,109.2713839,23.0310882,109.2308517,23.0085095,4849.242377,399.181824,0.0,0.885443
T16,1,O01,S004,109.2308517,23.0085095,109.2381714,23.0778414,7714.696449,398.239166,22.0,1.757453
T16,2,S004,O01,109.2381714,23.0778414,109.2308517,23.0085095,7714.696449,398.239166,0.0,1.433667
T17,1,O01,S015,109.2308517,23.0085095,109.1923786,23.0494548,6009.382971,571.799255,22.0,1.450228
T17,2,S015,O01,109.1923786,23.0494548,109.2308517,23.0085095,6009.382971,571.799255,0.0,1.107466
T18,1,O01,S007,109.2308517,23.0085095,109.1928191,23.0294186,4534.460567,511.973175,20.0,1.083409
T18,2,S007,S011,109.1928191,23.0294186,109.2203356,23.0319231,2834.028476,439.175354,3.0,0.539454
T18,3,S011,O01,109.2203356,23.0319231,109.2308517,23.0085095,2808.074233,295.361755,0.0,0.527512
T19,1,O01,S003,109.2308517,23.0085095,109.1688578,23.0402714,7263.179256,561.804138,20.0,1.673582
T19,2,S003,S015,109.1688578,23.0402714,109.1923786,23.0494548,2616.366901,487.898865,3.0,0.516171
T19,3,S015,O01,109.1923786,23.0494548,109.2308517,23.0085095,6009.382971,571.799255,0.0,1.107466
T20,1,O01,S004,109.2308517,23.0085095,109.2381714,23.0778414,7714.696449,398.239166,20.0,1.712714
T20,2,S004,S009,109.2381714,23.0778414,109.2541424,23.0552989,2985.089053,325.21579,3.0,0.568597
T20,3,S009,O01,109.2541424,23.0552989,109.2308517,23.0085095,5705.144962,293.228912,0.0,1.043677
T21,1,O01,S009,109.2308517,23.0085095,109.2541424,23.0552989,5705.144962,293.228912,22.0,1.287639
T21,2,S009,O01,109.2541424,23.0552989,109.2308517,23.0085095,5705.144962,293.228912,0.0,1.043677
T22,1,O01,S011,109.2308517,23.0085095,109.2203356,23.0319231,2808.074233,295.361755,22.0,0.663787
T22,2,S011,O01,109.2203356,23.0319231,109.2308517,23.0085095,2808.074233,295.361755,0.0,0.527512
