货箱编号,架次编号,服务区编号,交付完成时刻_s,物资类型,期望送达时间_s,硬截止时间_s,加权延误
S001-FOD-01,T02,S001,1380.269539,应急食品,7200.0,,0.0
S001-FOD-02,T02,S001,1380.269539,应急食品,7200.0,,0.0
S001-FOD-03,T03,S001,2743.823407,应急食品,7200.0,,0.0
S001-HYG-01,T02,S001,1380.269539,生活卫生用品,10800.0,,0.0
S001-HYG-02,T02,S001,1380.269539,生活卫生用品,10800.0,,0.0
S001-MED-01,T02,S001,1380.269539,医疗物资,3600.0,3600.0,0.0
S001-MED-02,T02,S001,1380.269539,医疗物资,3600.0,3600.0,0.0
S001-WAT-01,T03,S001,2743.823407,饮用水,3600.0,3600.0,0.0
S001-WAT-02,T03,S001,2743.823407,饮用水,3600.0,,0.0
S001-WAT-03,T03,S001,2743.823407,饮用水,3600.0,,0.0
S001-WAT-04,T03,S001,2743.823407,饮用水,3600.0,,0.0
S001-WAT-05,T03,S001,2743.823407,饮用水,3600.0,,0.0
S001-WAT-06,T02,S001,1380.269539,饮用水,3600.0,,0.0
S001-WAT-07,T02,S001,1380.269539,饮用水,3600.0,,0.0
S001-WAT-08,T02,S001,1380.269539,饮用水,3600.0,,0.0
S002-FOD-01,T04,S002,3179.48527,应急食品,7200.0,,0.0
S002-FOD-02,T04,S002,3179.48527,应急食品,7200.0,,0.0
S002-HYG-01,T04,S002,3179.48527,生活卫生用品,10800.0,,0.0
S002-MED-01,T15,S002,1313.808991,医疗物资,3600.0,3600.0,0.0
S002-WAT-01,T15,S002,1313.808991,饮用水,3600.0,3600.0,0.0
S002-WAT-02,T04,S002,3179.48527,饮用水,3600.0,,0.0
S002-WAT-03,T04,S002,3179.48527,饮用水,3600.0,,0.0
S002-WAT-04,T04,S002,3179.48527,饮用水,3600.0,,0.0
S003-FOD-01,T05,S003,5001.515658,应急食品,10800.0,,0.0
S003-FOD-02,T05,S003,5001.515658,应急食品,10800.0,,0.0
S003-HYG-01,T05,S003,5001.515658,生活卫生用品,14400.0,,0.0
S003-MED-01,T19,S003,4136.530452,医疗物资,7200.0,7200.0,0.0
S003-WAT-01,T19,S003,4136.530452,饮用水,7200.0,7200.0,0.0
S003-WAT-02,T05,S003,5001.515658,饮用水,7200.0,,0.0
S003-WAT-03,T05,S003,5001.515658,饮用水,7200.0,,0.0
S003-WAT-04,T05,S003,5001.515658,饮用水,7200.0,,0.0
S004-FOD-01,T16,S004,1371.046759,应急食品,10800.0,,0.0
S004-HYG-01,T09,S004,3112.224902,生活卫生用品,14400.0,,0.0
S004-MED-01,T20,S004,4197.848425,医疗物资,7200.0,7200.0,0.0
S004-WAT-01,T09,S004,3112.224902,饮用水,7200.0,7200.0,0.0
S004-WAT-02,T20,S004,4197.848425,饮用水,7200.0,,0.0
S004-WAT-03,T16,S004,1371.046759,饮用水,7200.0,,0.0
S005-FOD-01,T06,S005,5173.211724,应急食品,14400.0,,0.0
S005-HYG-01,T06,S005,5173.211724,生活卫生用品,18000.0,,0.0
S005-MED-01,T06,S005,5173.211724,医疗物资,10800.0,10800.0,0.0
S005-WAT-01,T06,S005,5173.211724,饮用水,10800.0,10800.0,0.0
S005-WAT-02,T06,S005,5173.211724,饮用水,10800.0,,0.0
S005-WAT-03,T06,S005,5173.211724,饮用水,10800.0,,0.0
S006-FOD-01,T01,S006,1209.421934,应急食品,7200.0,,0.0
S006-HYG-01,T01,S006,1209.421934,生活卫生用品,10800.0,,0.0
S006-MED-01,T01,S006,1209.421934,医疗物资,3600.0,3600.0,0.0
S006-WAT-01,T01,S006,1209.421934,饮用水,3600.0,3600.0,0.0
S006-WAT-02,T01,S006,1209.421934,饮用水,3600.0,,0.0
S006-WAT-03,T01,S006,1209.421934,饮用水,3600.0,,0.0
S007-FOD-01,T14,S007,1141.352042,应急食品,7200.0,,0.0
S007-HYG-01,T05,S007,4362.252143,生活卫生用品,10800.0,,0.0
S007-MED-01,T18,S007,2898.776127,医疗物资,3600.0,3600.0,0.0
S007-WAT-01,T14,S007,1141.352042,饮用水,3600.0,3600.0,0.0
S007-WAT-02,T18,S007,2898.776127,饮用水,3600.0,,0.0
S008-FOD-01,T11,S008,4769.262301,应急食品,10800.0,,0.0
