货箱编号,架次编号,服务区编号,交付完成时刻_s,物资类型,期望送达时间_s,硬截止时间_s,优先系数,加权延误
S001-FOD-01,T21,S001,5422.313154399972,应急食品,7200.0,,10.0,0.0
S001-FOD-02,T21,S001,5422.313154399972,应急食品,7200.0,,10.0,0.0
S001-FOD-03,T21,S001,5422.313154399972,应急食品,7200.0,,10.0,0.0
S001-HYG-01,T10,S001,2731.823406598901,生活卫生用品,10800.0,,8.0,0.0
S001-HYG-02,T21,S001,5422.313154399972,生活卫生用品,10800.0,,8.0,0.0
S001-MED-01,T10,S001,2731.823406598901,医疗物资,3600.0,3600.0,24.0,0.0
S001-MED-02,T10,S001,2731.823406598901,医疗物资,3600.0,3600.0,24.0,0.0
S001-WAT-01,T04,S001,857.6734369777703,饮用水,3600.0,3600.0,12.0,0.0
S001-WAT-02,T10,S001,2731.823406598901,饮用水,3600.0,,12.0,0.0
S001-WAT-03,T04,S001,857.6734369777703,饮用水,3600.0,,12.0,0.0
S001-WAT-04,T12,S001,3092.08192346829,饮用水,3600.0,,12.0,0.0
S001-WAT-05,T12,S001,3092.08192346829,饮用水,3600.0,,12.0,0.0
S001-WAT-06,T12,S001,3092.08192346829,饮用水,3600.0,,12.0,0.0
S001-WAT-07,T12,S001,3092.08192346829,饮用水,3600.0,,12.0,0.0
S001-WAT-08,T12,S001,3092.08192346829,饮用水,3600.0,,12.0,0.0
S002-FOD-01,T07,S002,1355.3161924029778,应急食品,7200.0,,10.0,0.0
S002-FOD-02,T03,S002,1283.808990961486,应急食品,7200.0,,10.0,0.0
S002-HYG-01,T07,S002,1355.3161924029778,生活卫生用品,10800.0,,8.0,0.0
S002-MED-01,T01,S002,1313.808990961486,医疗物资,3600.0,3600.0,24.0,0.0
S002-WAT-01,T03,S002,1283.808990961486,饮用水,3600.0,3600.0,12.0,0.0
S002-WAT-02,T07,S002,1355.3161924029778,饮用水,3600.0,,12.0,0.0
S002-WAT-03,T07,S002,1355.3161924029778,饮用水,3600.0,,12.0,0.0
S002-WAT-04,T01,S002,1313.808990961486,饮用水,3600.0,,12.0,0.0
S003-FOD-01,T18,S003,5306.988205698036,应急食品,10800.0,,8.0,0.0
S003-FOD-02,T18,S003,5306.988205698036,应急食品,10800.0,,8.0,0.0
S003-HYG-01,T18,S003,5306.988205698036,生活卫生用品,14400.0,,6.0,0.0
S003-MED-01,T14,S003,3476.68912090127,医疗物资,7200.0,7200.0,20.0,0.0
S003-WAT-01,T18,S003,5306.988205698036,饮用水,7200.0,7200.0,10.0,0.0
S003-WAT-02,T18,S003,5306.988205698036,饮用水,7200.0,,10.0,0.0
S003-WAT-03,T18,S003,5306.988205698036,饮用水,7200.0,,10.0,0.0
S003-WAT-04,T14,S003,3476.68912090127,饮用水,7200.0,,10.0,0.0
S004-FOD-01,T10,S004,3564.485269496565,应急食品,10800.0,,8.0,0.0
S004-HYG-01,T10,S004,3564.485269496565,生活卫生用品,14400.0,,6.0,0.0
S004-MED-01,T16,S004,4828.329002375211,医疗物资,7200.0,7200.0,20.0,0.0
S004-WAT-01,T16,S004,4828.329002375211,饮用水,7200.0,7200.0,10.0,0.0
S004-WAT-02,T10,S004,3564.485269496565,饮用水,7200.0,,10.0,0.0
S004-WAT-03,T10,S004,3564.485269496565,饮用水,7200.0,,10.0,0.0
S005-FOD-01,T20,S005,4860.01396286157,应急食品,14400.0,,6.0,0.0
S005-HYG-01,T21,S005,6018.940039661887,生活卫生用品,18000.0,,4.0,0.0
S005-MED-01,T16,S005,4289.04571455605,医疗物资,10800.0,10800.0,16.0,0.0
S005-WAT-01,T20,S005,4860.01396286157,饮用水,10800.0,10800.0,8.0,0.0
S005-WAT-02,T21,S005,6018.940039661887,饮用水,10800.0,,8.0,0.0
S005-WAT-03,T21,S005,6018.940039661887,饮用水,10800.0,,8.0,0.0
S006-FOD-01,T08,S006,1209.4219339682802,应急食品,7200.0,,10.0,0.0
S006-HYG-01,T08,S006,1209.4219339682802,生活卫生用品,10800.0,,8.0,0.0
S006-MED-01,T08,S006,1209.4219339682802,医疗物资,3600.0,3600.0,24.0,0.0
S006-WAT-01,T08,S006,1209.4219339682802,饮用水,3600.0,3600.0,12.0,0.0
S006-WAT-02,T08,S006,1209.4219339682802,饮用水,3600.0,,12.0,0.0
S006-WAT-03,T08,S006,1209.4219339682802,饮用水,3600.0,,12.0,0.0
S007-FOD-01,T13,S007,3145.09002417633,应急食品,7200.0,,10.0,0.0
S007-HYG-01,T18,S007,4667.724690781959,生活卫生用品,10800.0,,8.0,0.0
S007-MED-01,T11,S007,1451.3291059617463,医疗物资,3600.0,3600.0,24.0,0.0
S007-WAT-01,T13,S007,3145.09002417633,饮用水,3600.0,3600.0,12.0,0.0
S007-WAT-02,T11,S007,1451.3291059617463,饮用水,3600.0,,12.0,0.0
S008-FOD-01,T15,S008,3995.6221575791988,应急食品,10800.0,,8.0,0.0
S008-HYG-01,T19,S008,4695.067143031354,生活卫生用品,14400.0,,6.0,0.0
S008-MED-01,T15,S008,3995.6221575791988,医疗物资,7200.0,7200.0,20.0,0.0
S008-WAT-01,T15,S008,3995.6221575791988,饮用水,7200.0,7200.0,10.0,0.0
S008-WAT-02,T19,S008,4695.067143031354,饮用水,7200.0,,10.0,0.0
S009-FOD-01,T22,S009,5757.122075280845,应急食品,14400.0,,6.0,0.0
S009-MED-01,T22,S009,5757.122075280845,医疗物资,10800.0,10800.0,16.0,0.0
S009-WAT-01,T22,S009,5757.122075280845,饮用水,10800.0,10800.0,8.0,0.0
S010-FOD-01,T06,S010,2234.326656853285,应急食品,7200.0,,10.0,0.0
S010-MED-01,T06,S010,2234.326656853285,医疗物资,3600.0,3600.0,24.0,0.0
