货箱编号,架次编号,服务区编号,交付完成时刻_s,物资类型,期望送达时间_s,硬截止时间_s,优先系数,加权延误
S001-FOD-01,T22,S001,5254.313154399972,应急食品,7200.0,,10.0,0.0
S001-FOD-02,T07,S001,1314.2695386623404,应急食品,7200.0,,10.0,0.0
S001-FOD-03,T22,S001,5254.313154399972,应急食品,7200.0,,10.0,0.0
S001-HYG-01,T07,S001,1314.2695386623404,生活卫生用品,10800.0,,8.0,0.0
S001-HYG-02,T07,S001,1314.2695386623404,生活卫生用品,10800.0,,8.0,0.0
S001-MED-01,T17,S001,2665.823406598901,医疗物资,3600.0,3600.0,24.0,0.0
S001-MED-02,T07,S001,1314.2695386623404,医疗物资,3600.0,3600.0,24.0,0.0
S001-WAT-01,T07,S001,1314.2695386623404,饮用水,3600.0,3600.0,12.0,0.0
S001-WAT-02,T02,S001,857.6734369777703,饮用水,3600.0,,12.0,0.0
S001-WAT-03,T07,S001,1314.2695386623404,饮用水,3600.0,,12.0,0.0
S001-WAT-04,T17,S001,2665.823406598901,饮用水,3600.0,,12.0,0.0
S001-WAT-05,T17,S001,2665.823406598901,饮用水,3600.0,,12.0,0.0
S001-WAT-06,T07,S001,1314.2695386623404,饮用水,3600.0,,12.0,0.0
S001-WAT-07,T07,S001,1314.2695386623404,饮用水,3600.0,,12.0,0.0
S001-WAT-08,T02,S001,857.6734369777703,饮用水,3600.0,,12.0,0.0
S002-FOD-01,T20,S002,3113.485269727661,应急食品,7200.0,,10.0,0.0
S002-FOD-02,T12,S002,3011.233075468216,应急食品,7200.0,,10.0,0.0
S002-HYG-01,T20,S002,3113.485269727661,生活卫生用品,10800.0,,8.0,0.0
S002-MED-01,T20,S002,3113.485269727661,医疗物资,3600.0,3600.0,24.0,0.0
S002-WAT-01,T12,S002,3011.233075468216,饮用水,3600.0,3600.0,12.0,0.0
S002-WAT-02,T20,S002,3113.485269727661,饮用水,3600.0,,12.0,0.0
S002-WAT-03,T20,S002,3113.485269727661,饮用水,3600.0,,12.0,0.0
S002-WAT-04,T20,S002,3113.485269727661,饮用水,3600.0,,12.0,0.0
S003-FOD-01,T21,S003,5636.988205698036,应急食品,10800.0,,8.0,0.0
S003-FOD-02,T18,S003,5140.450039115854,应急食品,10800.0,,8.0,0.0
S003-HYG-01,T21,S003,5636.988205698036,生活卫生用品,14400.0,,6.0,0.0
S003-MED-01,T21,S003,5636.988205698036,医疗物资,7200.0,7200.0,20.0,0.0
S003-WAT-01,T21,S003,5636.988205698036,饮用水,7200.0,7200.0,10.0,0.0
S003-WAT-02,T21,S003,5636.988205698036,饮用水,7200.0,,10.0,0.0
S003-WAT-03,T18,S003,5140.450039115854,饮用水,7200.0,,10.0,0.0
S003-WAT-04,T21,S003,5636.988205698036,饮用水,7200.0,,10.0,0.0
S004-FOD-01,T01,S004,1371.046759349601,应急食品,10800.0,,8.0,0.0
S004-HYG-01,T17,S004,3498.485269496565,生活卫生用品,14400.0,,6.0,0.0
S004-MED-01,T17,S004,3498.485269496565,医疗物资,7200.0,7200.0,20.0,0.0
S004-WAT-01,T17,S004,3498.485269496565,饮用水,7200.0,7200.0,10.0,0.0
S004-WAT-02,T17,S004,3498.485269496565,饮用水,7200.0,,10.0,0.0
S004-WAT-03,T01,S004,1371.046759349601,饮用水,7200.0,,10.0,0.0
