货箱编号,架次编号,服务区编号,交付完成时刻_s,物资类型,期望送达时间_s,硬截止时间_s,优先系数,加权延误
S001-FOD-01,T04,S001,1248.2695386623404,应急食品,7200.0,,10.0,0.0
S001-FOD-02,T11,S001,908.5730843691855,应急食品,7200.0,,10.0,0.0
S001-FOD-03,T06,S001,908.5730843691855,应急食品,7200.0,,10.0,0.0
S001-HYG-01,T04,S001,1248.2695386623404,生活卫生用品,10800.0,,8.0,0.0
S001-HYG-02,T10,S001,2731.823406598901,生活卫生用品,10800.0,,8.0,0.0
S001-MED-01,T10,S001,2731.823406598901,医疗物资,3600.0,3600.0,24.0,0.0
S001-MED-02,T04,S001,1248.2695386623404,医疗物资,3600.0,3600.0,24.0,0.0
S001-WAT-01,T06,S001,908.5730843691855,饮用水,3600.0,3600.0,12.0,0.0
S001-WAT-02,T10,S001,2731.823406598901,饮用水,3600.0,,12.0,0.0
S001-WAT-03,T11,S001,908.5730843691855,饮用水,3600.0,,12.0,0.0
S001-WAT-04,T04,S001,1248.2695386623404,饮用水,3600.0,,12.0,0.0
S001-WAT-05,T10,S001,2731.823406598901,饮用水,3600.0,,12.0,0.0
S001-WAT-06,T04,S001,1248.2695386623404,饮用水,3600.0,,12.0,0.0
S001-WAT-07,T04,S001,1248.2695386623404,饮用水,3600.0,,12.0,0.0
S001-WAT-08,T04,S001,1248.2695386623404,饮用水,3600.0,,12.0,0.0
S002-FOD-01,T07,S002,3047.485269727661,应急食品,7200.0,,10.0,0.0
S002-FOD-02,T22,S002,3405.164018166794,应急食品,7200.0,,10.0,0.0
S002-HYG-01,T07,S002,3047.485269727661,生活卫生用品,10800.0,,8.0,0.0
S002-MED-01,T07,S002,3047.485269727661,医疗物资,3600.0,3600.0,24.0,0.0
S002-WAT-01,T07,S002,3047.485269727661,饮用水,3600.0,3600.0,12.0,0.0
S002-WAT-02,T22,S002,3405.164018166794,饮用水,3600.0,,12.0,0.0
S002-WAT-03,T07,S002,3047.485269727661,饮用水,3600.0,,12.0,0.0
S002-WAT-04,T07,S002,3047.485269727661,饮用水,3600.0,,12.0,0.0
S003-FOD-01,T13,S003,2660.187474757867,应急食品,10800.0,,8.0,0.0
S003-FOD-02,T20,S003,6185.050359305033,应急食品,10800.0,,8.0,0.0
S003-HYG-01,T20,S003,6185.050359305033,生活卫生用品,14400.0,,6.0,0.0
S003-MED-01,T20,S003,6185.050359305033,医疗物资,7200.0,7200.0,20.0,0.0
S003-WAT-01,T13,S003,2660.187474757867,饮用水,7200.0,7200.0,10.0,0.0
S003-WAT-02,T20,S003,6185.050359305033,饮用水,7200.0,,10.0,0.0
S003-WAT-03,T20,S003,6185.050359305033,饮用水,7200.0,,10.0,0.0
S003-WAT-04,T20,S003,6185.050359305033,饮用水,7200.0,,10.0,0.0
S004-FOD-01,T01,S004,1371.046759349601,应急食品,10800.0,,8.0,0.0
S004-HYG-01,T10,S004,3564.485269496565,生活卫生用品,14400.0,,6.0,0.0
S004-MED-01,T10,S004,3564.485269496565,医疗物资,7200.0,7200.0,20.0,0.0
S004-WAT-01,T10,S004,3564.485269496565,饮用水,7200.0,7200.0,10.0,0.0
S004-WAT-02,T10,S004,3564.485269496565,饮用水,7200.0,,10.0,0.0
S004-WAT-03,T01,S004,1371.046759349601,饮用水,7200.0,,10.0,0.0
S005-FOD-01,T19,S005,5041.211724393321,应急食品,14400.0,,6.0,0.0
S005-HYG-01,T19,S005,5041.211724393321,生活卫生用品,18000.0,,4.0,0.0
S005-MED-01,T19,S005,5041.211724393321,医疗物资,10800.0,10800.0,16.0,0.0
S005-WAT-01,T19,S005,5041.211724393321,饮用水,10800.0,10800.0,8.0,0.0
S005-WAT-02,T19,S005,5041.211724393321,饮用水,10800.0,,8.0,0.0
S005-WAT-03,T19,S005,5041.211724393321,饮用水,10800.0,,8.0,0.0
S006-FOD-01,T05,S006,1209.4219339682802,应急食品,7200.0,,10.0,0.0
S006-HYG-01,T05,S006,1209.4219339682802,生活卫生用品,10800.0,,8.0,0.0
S006-MED-01,T05,S006,1209.4219339682802,医疗物资,3600.0,3600.0,24.0,0.0
S006-WAT-01,T05,S006,1209.4219339682802,饮用水,3600.0,3600.0,12.0,0.0
S006-WAT-02,T05,S006,1209.4219339682802,饮用水,3600.0,,12.0,0.0
S006-WAT-03,T05,S006,1209.4219339682802,饮用水,3600.0,,12.0,0.0
S007-FOD-01,T21,S007,2392.2515443250736,应急食品,7200.0,,10.0,0.0
S007-HYG-01,T20,S007,5545.7868443889565,生活卫生用品,10800.0,,8.0,0.0
S007-MED-01,T02,S007,1141.352042253366,医疗物资,3600.0,3600.0,24.0,0.0
S007-WAT-01,T21,S007,2392.2515443250736,饮用水,3600.0,3600.0,12.0,0.0
S007-WAT-02,T02,S007,1141.352042253366,饮用水,3600.0,,12.0,0.0
S008-FOD-01,T15,S008,5083.639151545851,应急食品,10800.0,,8.0,0.0
S008-HYG-01,T17,S008,6985.470587202184,生活卫生用品,14400.0,,6.0,0.0
S008-MED-01,T15,S008,5083.639151545851,医疗物资,7200.0,7200.0,20.0,0.0
S008-WAT-01,T17,S008,6985.470587202184,饮用水,7200.0,7200.0,10.0,0.0
S008-WAT-02,T15,S008,5083.639151545851,饮用水,7200.0,,10.0,0.0
S009-FOD-01,T14,S009,4156.662757408615,应急食品,14400.0,,6.0,0.0
S009-MED-01,T14,S009,4156.662757408615,医疗物资,10800.0,10800.0,16.0,0.0
S009-WAT-01,T14,S009,4156.662757408615,饮用水,10800.0,10800.0,8.0,0.0
S010-FOD-01,T09,S010,2595.6987746373884,应急食品,7200.0,,10.0,0.0
S010-MED-01,T09,S010,2595.6987746373884,医疗物资,3600.0,3600.0,24.0,0.0
S010-WAT-01,T09,S010,2595.6987746373884,饮用水,3600.0,3600.0,12.0,0.0
S011-FOD-01,T18,S011,7358.96716413671,应急食品,14400.0,,6.0,0.0
S011-MED-01,T18,S011,7358.96716413671,医疗物资,10800.0,10800.0,16.0,0.0
S011-WAT-01,T18,S011,7358.96716413671,饮用水,10800.0,10800.0,8.0,0.0
S012-FOD-01,T08,S012,1271.3001753560065,应急食品,7200.0,,10.0,0.0
S012-MED-01,T08,S012,1271.3001753560065,医疗物资,7200.0,3600.0,22.0,0.0
S012-WAT-01,T08,S012,1271.3001753560065,饮用水,3600.0,3600.0,12.0,0.0
S013-FOD-01,T03,S013,1062.769495869822,应急食品,7200.0,,10.0,0.0
S013-MED-01,T03,S013,1062.769495869822,医疗物资,3600.0,3600.0,24.0,0.0
S013-WAT-01,T03,S013,1062.769495869822,饮用水,3600.0,3600.0,12.0,0.0
S014-FOD-01,T12,S014,3165.1752255481724,应急食品,7200.0,,10.0,0.0
S014-MED-01,T12,S014,3165.1752255481724,医疗物资,7200.0,3600.0,22.0,0.0
S014-WAT-01,T12,S014,3165.1752255481724,饮用水,3600.0,3600.0,12.0,0.0
S015-FOD-01,T16,S015,5841.871942651529,应急食品,14400.0,,6.0,0.0
S015-MED-01,T16,S015,5841.871942651529,医疗物资,7200.0,7200.0,18.0,0.0
S015-WAT-01,T16,S015,5841.871942651529,饮用水,10800.0,10800.0,8.0,0.0
