架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,返航SOC,电池充满时刻_s,总质量_kg,总体积_m3,货箱编号列表
T01,U01,A,A-B1,0.0,S002-S012,2638.6077073212527,3.5938213760805615,0.20137302753765296,4176.822771522304,20.0,0.051000000000000004,"S002-MED-01,S002-WAT-04,S012-MED-01"
T02,U02,A,A-B2,0.0,S012,2109.0900736032127,3.058457409355411,0.3203427979210197,3492.644436305887,22.0,0.055,"S012-FOD-01,S012-WAT-01"
T03,U03,A,A-B3,0.0,S002,2003.737981922964,3.0186909346307234,0.32917979230428374,3375.804251927395,22.0,0.055,"S002-FOD-02,S002-WAT-01"
T04,U05,B,B-B1,0.0,S001,1149.1002072888764,1.2204176159531197,0.69489559601172,2344.6145075352283,28.0,0.054,"S001-WAT-01,S001-WAT-03"
T05,U06,B,B-B2,0.0,S014,1869.7564163390168,2.1403884819942327,0.4649028795014418,3463.924758536518,25.0,0.067,"S014-FOD-01,S014-MED-01,S014-WAT-01"
T06,U05,B,B-B3,1149.1002072888764,S010,2704.479773084362,1.823195697994833,0.5442010755012918,4161.197908882123,25.0,0.067,"S010-FOD-01,S010-MED-01,S010-WAT-01"
T07,U07,C,C-B1,0.0,S002,1975.8123848059495,5.248650198490972,0.34391872518862854,4230.655146897254,42.0,0.117,"S002-FOD-01,S002-HYG-01,S002-WAT-02,S002-WAT-03"
T08,U08,C,C-B2,0.0,S006,1561.5538679365604,2.597987864766336,0.6752515169042079,3098.5089146441096,59.0,0.156,"S006-FOD-01,S006-HYG-01,S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03"
T09,U06,B,B-B4,1869.7564163390168,S013,3380.2287414119965,1.824759272250453,0.5438101819373867,4837.62442605386,25.0,0.067,"S013-FOD-01,S013-MED-01,S013-WAT-01"
T10,U08,C,C-B3,1561.5538679365604,S001-S004,4282.043615737631,6.122216631520697,0.23472292105991288,6773.477286774486,68.0,0.203,"S001-HYG-01,S001-MED-01,S001-MED-02,S001-WAT-02,S004-FOD-01,S004-HYG-01,S004-WAT-02,S004-WAT-03"
T11,U04,A,A-B4,0.0,S011-S007,2037.4011482151104,2.155820780454456,0.5209287154545653,3160.1938181241753,20.0,0.051000000000000004,"S011-MED-01,S007-MED-01,S007-WAT-02"
T12,U07,C,C-B4,1975.8123848059495,S001,3403.981462130633,2.72039250271823,0.6599509371602212,4974.0877649501535,70.0,0.135,"S001-WAT-04,S001-WAT-05,S001-WAT-06,S001-WAT-07,S001-WAT-08"
T13,U03,A,A-B5,2003.737981922964,S007,3731.1620664296943,1.9709223947656627,0.5620172456076304,4800.539647139774,22.0,0.055,"S007-FOD-01,S007-WAT-01"
T14,U04,A,A-B6,2037.4011482151104,S003-S015,4640.733565005248,3.297218858919096,0.2672846980179787,6093.263457581876,20.0,0.051000000000000004,"S003-MED-01,S003-WAT-04,S015-MED-01"
T15,U05,B,B-B1,2704.479773084362,S008,4666.311208740695,2.975216526357531,0.25619586841061726,6622.238370162292,25.0,0.067,"S008-FOD-01,S008-MED-01,S008-WAT-01"
T16,U01,A,A-B4,3160.1938181241753,S005-S004,5636.082428391469,3.195613262680392,0.2898637194043574,7059.259593165804,20.0,0.051000000000000004,"S005-MED-01,S004-MED-01,S004-WAT-01"
T17,U02,A,A-B3,3375.804251927395,S015,5344.3936550482185,2.5576944734703684,0.4316234503399181,6583.283169606325,22.0,0.055,"S015-FOD-01,S015-WAT-01"
T18,U07,C,C-B2,3403.981462130633,S007-S003,6097.573880477822,6.392209374907111,0.20097382813661113,8662.130586181831,70.0,0.20700000000000002,"S007-HYG-01,S003-FOD-01,S003-FOD-02,S003-HYG-01,S003-WAT-02,S003-WAT-03,S003-WAT-01"
T19,U06,B,B-B2,3463.924758536518,S008,5365.756194192851,2.763441255255242,0.3091396861861895,7229.9140714701225,20.0,0.062,"S008-HYG-01,S008-WAT-02"
T20,U03,A,A-B2,3731.1620664296943,S005,5423.352525960112,2.1929884019290204,0.5126692440157732,6556.882508739607,22.0,0.055,"S005-FOD-01,S005-WAT-01"
T21,U08,C,C-B1,4282.043615737631,S001-S005,6522.900301924575,4.372774908966559,0.45340313637918017,8540.526839769684,64.0,0.20800000000000002,"S001-FOD-01,S001-FOD-02,S001-FOD-03,S001-HYG-02,S005-HYG-01,S005-WAT-02,S005-WAT-03"
T22,U05,B,B-B3,4666.311208740695,S009,6224.752941820999,2.0962337344036612,0.4759415663990847,7799.787560062585,25.0,0.067,"S009-FOD-01,S009-MED-01,S009-WAT-01"
T23,U06,B,B-B4,5365.756194192851,S011,6494.176666424379,1.0257198767211049,0.7435700308197237,7605.321946336858,22.0,0.055,"S011-FOD-01,S011-WAT-01"
