货箱编号,架次编号,服务区编号,交付完成时刻_s,物资类型,期望送达时间_s,硬截止时间_s,优先系数,加权延误
S001-FOD-01,T22,S001,6172.737097537809,应急食品,7200.0,,10.0,0.0
S001-FOD-02,T22,S001,6172.737097537809,应急食品,7200.0,,10.0,0.0
S001-FOD-03,T22,S001,6172.737097537809,应急食品,7200.0,,10.0,0.0
S001-HYG-01,T22,S001,6172.737097537809,生活卫生用品,10800.0,,8.0,0.0
S001-HYG-02,T22,S001,6172.737097537809,生活卫生用品,10800.0,,8.0,0.0
S001-MED-01,T05,S001,1182.2695386623404,医疗物资,3600.0,3600.0,24.0,0.0
S001-MED-02,T04,S001,908.5730843691855,医疗物资,3600.0,3600.0,24.0,0.0
S001-WAT-01,T13,S001,3146.08192346829,饮用水,3600.0,3600.0,12.0,0.0
S001-WAT-02,T13,S001,3146.08192346829,饮用水,3600.0,,12.0,0.0
S001-WAT-03,T05,S001,1182.2695386623404,饮用水,3600.0,,12.0,0.0
S001-WAT-04,T05,S001,1182.2695386623404,饮用水,3600.0,,12.0,0.0
S001-WAT-05,T05,S001,1182.2695386623404,饮用水,3600.0,,12.0,0.0
S001-WAT-06,T05,S001,1182.2695386623404,饮用水,3600.0,,12.0,0.0
S001-WAT-07,T04,S001,908.5730843691855,饮用水,3600.0,,12.0,0.0
S001-WAT-08,T05,S001,1182.2695386623404,饮用水,3600.0,,12.0,0.0
S002-FOD-01,T06,S002,1283.808990961486,应急食品,7200.0,,10.0,0.0
S002-FOD-02,T01,S002,1487.3161924029778,应急食品,7200.0,,10.0,0.0
S002-HYG-01,T01,S002,1487.3161924029778,生活卫生用品,10800.0,,8.0,0.0
S002-MED-01,T01,S002,1487.3161924029778,医疗物资,3600.0,3600.0,24.0,0.0
S002-WAT-01,T01,S002,1487.3161924029778,饮用水,3600.0,3600.0,12.0,0.0
S002-WAT-02,T01,S002,1487.3161924029778,饮用水,3600.0,,12.0,0.0
S002-WAT-03,T06,S002,1283.808990961486,饮用水,3600.0,,12.0,0.0
S002-WAT-04,T01,S002,1487.3161924029778,饮用水,3600.0,,12.0,0.0
S003-FOD-01,T20,S003,6533.308876174422,应急食品,10800.0,,8.0,0.0
S003-FOD-02,T16,S003,4414.086875950987,应急食品,10800.0,,8.0,0.0
S003-HYG-01,T20,S003,6533.308876174422,生活卫生用品,14400.0,,6.0,0.0
S003-MED-01,T16,S003,4414.086875950987,医疗物资,7200.0,7200.0,20.0,0.0
S003-WAT-01,T20,S003,6533.308876174422,饮用水,7200.0,7200.0,10.0,0.0
S003-WAT-02,T16,S003,4414.086875950987,饮用水,7200.0,,10.0,0.0
S003-WAT-03,T20,S003,6533.308876174422,饮用水,7200.0,,10.0,0.0
