货箱编号,架次编号,服务区编号,交付完成时刻_s,物资类型,期望送达时间_s,硬截止时间_s,优先系数,加权延误
S001-FOD-01,T04,S001,908.5730843691855,应急食品,7200.0,,10.0,0.0
S001-FOD-02,T06,S001,1248.2695386623404,应急食品,7200.0,,10.0,0.0
S001-FOD-03,T06,S001,1248.2695386623404,应急食品,7200.0,,10.0,0.0
S001-HYG-01,T06,S001,1248.2695386623404,生活卫生用品,10800.0,,8.0,0.0
S001-HYG-02,T03,S001,857.6734369777703,生活卫生用品,10800.0,,8.0,0.0
S001-MED-01,T08,S001,968.5730843691855,医疗物资,3600.0,3600.0,24.0,0.0
S001-MED-02,T08,S001,968.5730843691855,医疗物资,3600.0,3600.0,24.0,0.0
S001-WAT-01,T06,S001,1248.2695386623404,饮用水,3600.0,3600.0,12.0,0.0
S001-WAT-02,T06,S001,1248.2695386623404,饮用水,3600.0,,12.0,0.0
S001-WAT-03,T04,S001,908.5730843691855,饮用水,3600.0,,12.0,0.0
S001-WAT-04,T08,S001,968.5730843691855,饮用水,3600.0,,12.0,0.0
S001-WAT-05,T06,S001,1248.2695386623404,饮用水,3600.0,,12.0,0.0
S001-WAT-06,T13,S001,2592.4386159870237,饮用水,3600.0,,12.0,0.0
S001-WAT-07,T06,S001,1248.2695386623404,饮用水,3600.0,,12.0,0.0
S001-WAT-08,T03,S001,857.6734369777703,饮用水,3600.0,,12.0,0.0
S002-FOD-01,T13,S002,3374.1154768708616,应急食品,7200.0,,10.0,0.0
S002-FOD-02,T19,S002,3593.8023768877215,应急食品,7200.0,,10.0,0.0
S002-HYG-01,T13,S002,3374.1154768708616,生活卫生用品,10800.0,,8.0,0.0
S002-MED-01,T13,S002,3374.1154768708616,医疗物资,3600.0,3600.0,24.0,0.0
S002-WAT-01,T13,S002,3374.1154768708616,饮用水,3600.0,3600.0,12.0,0.0
S002-WAT-02,T13,S002,3374.1154768708616,饮用水,3600.0,,12.0,0.0
S002-WAT-03,T19,S002,3593.8023768877215,饮用水,3600.0,,12.0,0.0
S002-WAT-04,T13,S002,3374.1154768708616,饮用水,3600.0,,12.0,0.0
S003-FOD-01,T23,S003,5084.250067241724,应急食品,10800.0,,8.0,0.0
S003-FOD-02,T21,S003,4846.323841004239,应急食品,10800.0,,8.0,0.0
S003-HYG-01,T23,S003,5084.250067241724,生活卫生用品,14400.0,,6.0,0.0
S003-MED-01,T23,S003,5084.250067241724,医疗物资,7200.0,7200.0,20.0,0.0
S003-WAT-01,T23,S003,5084.250067241724,饮用水,7200.0,7200.0,10.0,0.0
S003-WAT-02,T21,S003,4846.323841004239,饮用水,7200.0,,10.0,0.0
S003-WAT-03,T23,S003,5084.250067241724,饮用水,7200.0,,10.0,0.0
S003-WAT-04,T23,S003,5084.250067241724,饮用水,7200.0,,10.0,0.0
S004-FOD-01,T24,S004,5578.110015514907,应急食品,10800.0,,8.0,0.0
S004-HYG-01,T24,S004,5578.110015514907,生活卫生用品,14400.0,,6.0,0.0
S004-MED-01,T24,S004,5578.110015514907,医疗物资,7200.0,7200.0,20.0,0.0
S004-WAT-01,T24,S004,5578.110015514907,饮用水,7200.0,7200.0,10.0,0.0
S004-WAT-02,T24,S004,5578.110015514907,饮用水,7200.0,,10.0,0.0
S004-WAT-03,T24,S004,5578.110015514907,饮用水,7200.0,,10.0,0.0
S005-FOD-01,T14,S005,2934.7841301992485,应急食品,14400.0,,6.0,0.0
S005-HYG-01,T14,S005,2934.7841301992485,生活卫生用品,18000.0,,4.0,0.0
S005-MED-01,T14,S005,2934.7841301992485,医疗物资,10800.0,10800.0,16.0,0.0
S005-WAT-01,T14,S005,2934.7841301992485,饮用水,10800.0,10800.0,8.0,0.0
S005-WAT-02,T14,S005,2934.7841301992485,饮用水,10800.0,,8.0,0.0
S005-WAT-03,T14,S005,2934.7841301992485,饮用水,10800.0,,8.0,0.0
S006-FOD-01,T10,S006,1209.4219339682802,应急食品,7200.0,,10.0,0.0
S006-HYG-01,T10,S006,1209.4219339682802,生活卫生用品,10800.0,,8.0,0.0
S006-MED-01,T10,S006,1209.4219339682802,医疗物资,3600.0,3600.0,24.0,0.0
S006-WAT-01,T10,S006,1209.4219339682802,饮用水,3600.0,3600.0,12.0,0.0
S006-WAT-02,T10,S006,1209.4219339682802,饮用水,3600.0,,12.0,0.0
S006-WAT-03,T10,S006,1209.4219339682802,饮用水,3600.0,,12.0,0.0
S007-FOD-01,T12,S007,2452.2515443250736,应急食品,7200.0,,10.0,0.0
S007-HYG-01,T25,S007,5251.797143061887,生活卫生用品,10800.0,,8.0,0.0
S007-MED-01,T05,S007,1171.352042253366,医疗物资,3600.0,3600.0,24.0,0.0
S007-WAT-01,T12,S007,2452.2515443250736,饮用水,3600.0,3600.0,12.0,0.0
S007-WAT-02,T05,S007,1171.352042253366,饮用水,3600.0,,12.0,0.0
S008-FOD-01,T22,S008,4937.405072589141,应急食品,10800.0,,8.0,0.0
S008-HYG-01,T16,S008,4551.371125906833,生活卫生用品,14400.0,,6.0,0.0
S008-MED-01,T15,S008,3935.6221575791988,医疗物资,7200.0,7200.0,20.0,0.0
S008-WAT-01,T22,S008,4937.405072589141,饮用水,7200.0,7200.0,10.0,0.0
S008-WAT-02,T15,S008,3935.6221575791988,饮用水,7200.0,,10.0,0.0
S009-FOD-01,T18,S009,5697.122075280845,应急食品,14400.0,,6.0,0.0
S009-MED-01,T18,S009,5697.122075280845,医疗物资,10800.0,10800.0,16.0,0.0
S009-WAT-01,T18,S009,5697.122075280845,饮用水,10800.0,10800.0,8.0,0.0
S010-FOD-01,T07,S010,2234.326656853285,应急食品,7200.0,,10.0,0.0
S010-MED-01,T07,S010,2234.326656853285,医疗物资,3600.0,3600.0,24.0,0.0
S010-WAT-01,T07,S010,2234.326656853285,饮用水,3600.0,3600.0,12.0,0.0
S011-FOD-01,T20,S011,6128.4570798507575,应急食品,14400.0,,6.0,0.0
S011-MED-01,T20,S011,6128.4570798507575,医疗物资,10800.0,10800.0,16.0,0.0
S011-WAT-01,T20,S011,6128.4570798507575,饮用水,10800.0,10800.0,8.0,0.0
S012-FOD-01,T02,S012,1334.4750368016162,应急食品,7200.0,,10.0,0.0
S012-MED-01,T02,S012,1334.4750368016162,医疗物资,7200.0,3600.0,22.0,0.0
S012-WAT-01,T17,S012,3395.830064006924,饮用水,3600.0,3600.0,12.0,0.0
S013-FOD-01,T01,S013,1062.769495869822,应急食品,7200.0,,10.0,0.0
S013-MED-01,T01,S013,1062.769495869822,医疗物资,3600.0,3600.0,24.0,0.0
S013-WAT-01,T01,S013,1062.769495869822,饮用水,3600.0,3600.0,12.0,0.0
S014-FOD-01,T11,S014,2752.9071999091557,应急食品,7200.0,,10.0,0.0
S014-MED-01,T11,S014,2752.9071999091557,医疗物资,7200.0,3600.0,22.0,0.0
S014-WAT-01,T11,S014,2752.9071999091557,饮用水,3600.0,3600.0,12.0,0.0
S015-FOD-01,T09,S015,2508.6342036321234,应急食品,14400.0,,6.0,0.0
S015-MED-01,T05,S015,1599.1386843658277,医疗物资,7200.0,7200.0,18.0,0.0
S015-WAT-01,T09,S015,2508.6342036321234,饮用水,10800.0,10800.0,8.0,0.0
