架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,返航SOC,电池充满时刻_s,总质量_kg,总体积_m3,货箱编号列表
T01,U01,A,A-B1,0.0,S007-S015,2309.993386,2.546579,0.434094,3545.671714,12.0,0.059000000000000004,"S007-HYG-01,S007-MED-01,S015-MED-01"
T02,U02,A,A-B2,0.0,S012,2109.090074,3.058457,0.320343,3492.644436,22.0,0.055,"S012-WAT-01,S012-FOD-01"
T03,U03,A,A-B3,0.0,S001,1250.899502,1.282346,0.715034,2121.355027,22.0,0.055,"S001-FOD-02,S001-WAT-04"
T04,U04,A,A-B4,0.0,S007,1667.424085,1.872548,0.583878,2708.382466,14.0,0.027,S007-WAT-02
T05,U05,B,B-B1,0.0,S008,1961.831436,2.975217,0.256196,3917.758597,25.0,0.067,"S008-MED-01,S008-WAT-01,S008-FOD-01"
T06,U07,C,C-B1,0.0,S001,1560.169077,2.995769,0.625529,3204.856586,78.0,0.199,"S001-WAT-05,S001-WAT-02,S001-FOD-01,S001-WAT-08,S001-HYG-02,S001-FOD-03,S001-WAT-03"
T07,U08,C,C-B2,0.0,S006,1561.553868,2.597988,0.675252,3098.508915,59.0,0.156,"S006-MED-01,S006-FOD-01,S006-WAT-03,S006-WAT-01,S006-HYG-01,S006-WAT-02"
T08,U06,B,B-B2,0.0,S010,1555.379566,1.823196,0.544201,3012.097702,25.0,0.067,"S010-FOD-01,S010-WAT-01,S010-MED-01"
T09,U07,C,C-B3,1560.169077,S001-S004,4280.658825,6.217918,0.22276,6798.011538,74.0,0.202,"S001-WAT-06,S001-MED-01,S001-WAT-01,S001-HYG-01,S004-MED-01,S004-WAT-01,S004-HYG-01,S004-WAT-02"
T10,U06,B,B-B3,1555.379566,S013,3065.851891,1.824759,0.54381,4523.247576,25.0,0.067,"S013-FOD-01,S013-WAT-01,S013-MED-01"
T11,U05,B,B-B4,1961.831436,S014,3831.587852,2.140388,0.464903,5425.756194,25.0,0.067,"S014-MED-01,S014-WAT-01,S014-FOD-01"
T12,U03,A,A-B5,1250.899502,S001-S012,3681.747632,2.978878,0.338027,5042.312333,20.0,0.051000000000000004,"S001-WAT-07,S001-MED-02,S012-MED-01"
T13,U06,B,B-B2,3065.851891,S009,4624.293624,2.096234,0.475942,6199.328242,25.0,0.067,"S009-WAT-01,S009-MED-01,S009-FOD-01"
T14,U04,A,A-B6,1667.424085,S007,3394.848169,1.970922,0.562017,4464.22575,22.0,0.055,"S007-WAT-01,S007-FOD-01"
T15,U08,C,C-B4,1561.553868,S002,3669.366253,5.853072,0.268366,6087.906502,59.0,0.156,"S002-HYG-01,S002-WAT-03,S002-WAT-02,S002-WAT-04,S002-FOD-01,S002-MED-01"
T16,U02,A,A-B3,2121.355027,S002,4125.093009,3.018691,0.32918,5497.159279,22.0,0.055,"S002-WAT-01,S002-FOD-02"
T17,U01,A,A-B4,2708.382466,S003,4971.011745,3.083593,0.314757,6361.827433,22.0,0.055,"S003-WAT-01,S003-FOD-01"
T18,U08,C,C-B1,3669.366253,S003,6105.457602,5.897089,0.262864,8535.919184,59.0,0.156,"S003-WAT-02,S003-WAT-04,S003-HYG-01,S003-WAT-03,S003-MED-01,S003-FOD-02"
T19,U04,A,A-B2,3492.644436,S004,5671.444622,3.19112,0.290862,7093.323863,22.0,0.055,"S004-WAT-03,S004-FOD-01"
T20,U05,B,B-B1,3917.758597,S008,5819.590033,2.763441,0.30914,7683.74791,20.0,0.062,"S008-WAT-02,S008-HYG-01"
T21,U03,A,A-B1,3681.747632,S015,5650.337035,2.557694,0.431623,6889.226549,22.0,0.055,"S015-FOD-01,S015-WAT-01"
T22,U06,B,B-B3,4624.293624,S011,5812.714096,1.073952,0.731512,6944.759861,25.0,0.067,"S011-FOD-01,S011-MED-01,S011-WAT-01"
T23,U07,C,C-B2,4280.658825,S005,6157.84935,4.222193,0.472226,8134.693249,59.0,0.156,"S005-WAT-01,S005-WAT-02,S005-MED-01,S005-FOD-01,S005-HYG-01,S005-WAT-03"
