货箱编号,架次编号,服务区编号,交付完成时刻_s,物资类型,期望送达时间_s,硬截止时间_s,加权延误
S001-FOD-01,T12,S001,2665.823407,应急食品,7200.0,,0.0
S001-FOD-02,T01,S001,908.573084,应急食品,7200.0,,0.0
S001-FOD-03,T05,S001,1248.269539,应急食品,7200.0,,0.0
S001-HYG-01,T05,S001,1248.269539,生活卫生用品,10800.0,,0.0
S001-HYG-02,T05,S001,1248.269539,生活卫生用品,10800.0,,0.0
S001-MED-01,T02,S001,1915.970904,医疗物资,3600.0,3600.0,0.0
S001-MED-02,T07,S001,938.573084,医疗物资,3600.0,3600.0,0.0
S001-WAT-01,T01,S001,908.573084,饮用水,3600.0,3600.0,0.0
S001-WAT-02,T05,S001,1248.269539,饮用水,3600.0,,0.0
S001-WAT-03,T05,S001,1248.269539,饮用水,3600.0,,0.0
S001-WAT-04,T12,S001,2665.823407,饮用水,3600.0,,0.0
S001-WAT-05,T12,S001,2665.823407,饮用水,3600.0,,0.0
S001-WAT-06,T07,S001,938.573084,饮用水,3600.0,,0.0
S001-WAT-07,T05,S001,1248.269539,饮用水,3600.0,,0.0
S001-WAT-08,T05,S001,1248.269539,饮用水,3600.0,,0.0
S002-FOD-01,T06,S002,3047.48527,应急食品,7200.0,,0.0
S002-FOD-02,T08,S002,2534.708493,应急食品,7200.0,,0.0
S002-HYG-01,T06,S002,3047.48527,生活卫生用品,10800.0,,0.0
S002-MED-01,T06,S002,3047.48527,医疗物资,3600.0,3600.0,0.0
S002-WAT-01,T06,S002,3047.48527,饮用水,3600.0,3600.0,0.0
S002-WAT-02,T06,S002,3047.48527,饮用水,3600.0,,0.0
S002-WAT-03,T06,S002,3047.48527,饮用水,3600.0,,0.0
S002-WAT-04,T08,S002,2534.708493,饮用水,3600.0,,0.0
S003-FOD-01,T18,S003,5313.487137,应急食品,10800.0,,0.0
S003-FOD-02,T18,S003,5313.487137,应急食品,10800.0,,0.0
S003-HYG-01,T18,S003,5313.487137,生活卫生用品,14400.0,,0.0
S003-MED-01,T19,S003,4931.932409,医疗物资,7200.0,7200.0,0.0
S003-WAT-01,T18,S003,5313.487137,饮用水,7200.0,7200.0,0.0
S003-WAT-02,T18,S003,5313.487137,饮用水,7200.0,,0.0
S003-WAT-03,T18,S003,5313.487137,饮用水,7200.0,,0.0
S003-WAT-04,T19,S003,4931.932409,饮用水,7200.0,,0.0
S004-FOD-01,T15,S004,4861.280214,应急食品,10800.0,,0.0
S004-HYG-01,T12,S004,3498.485269,生活卫生用品,14400.0,,0.0
S004-MED-01,T12,S004,3498.485269,医疗物资,7200.0,7200.0,0.0
S004-WAT-01,T12,S004,3498.485269,饮用水,7200.0,7200.0,0.0
S004-WAT-02,T15,S004,4861.280214,饮用水,7200.0,,0.0
S004-WAT-03,T12,S004,3498.485269,饮用水,7200.0,,0.0
S005-FOD-01,T21,S005,5589.273878,应急食品,14400.0,,0.0
S005-HYG-01,T21,S005,5589.273878,生活卫生用品,18000.0,,0.0
S005-MED-01,T21,S005,5589.273878,医疗物资,10800.0,10800.0,0.0
S005-WAT-01,T21,S005,5589.273878,饮用水,10800.0,10800.0,0.0
S005-WAT-02,T21,S005,5589.273878,饮用水,10800.0,,0.0
S005-WAT-03,T21,S005,5589.273878,饮用水,10800.0,,0.0
S006-FOD-01,T04,S006,1209.421934,应急食品,7200.0,,0.0
S006-HYG-01,T04,S006,1209.421934,生活卫生用品,10800.0,,0.0
S006-MED-01,T04,S006,1209.421934,医疗物资,3600.0,3600.0,0.0
S006-WAT-01,T04,S006,1209.421934,饮用水,3600.0,3600.0,0.0
S006-WAT-02,T04,S006,1209.421934,饮用水,3600.0,,0.0
S006-WAT-03,T04,S006,1209.421934,饮用水,3600.0,,0.0
S007-FOD-01,T13,S007,3399.649364,应急食品,7200.0,,0.0
S007-HYG-01,T02,S007,1171.352042,生活卫生用品,10800.0,,0.0
S007-MED-01,T02,S007,1171.352042,医疗物资,3600.0,3600.0,0.0
S007-WAT-01,T13,S007,3399.649364,饮用水,3600.0,3600.0,0.0
S007-WAT-02,T10,S007,3190.442116,饮用水,3600.0,,0.0
S008-FOD-01,T20,S008,5062.730236,应急食品,10800.0,,0.0
S008-HYG-01,T16,S008,3100.898801,生活卫生用品,14400.0,,0.0
S008-MED-01,T20,S008,5062.730236,医疗物资,7200.0,7200.0,0.0
S008-WAT-01,T16,S008,3100.898801,饮用水,7200.0,7200.0,0.0
S008-WAT-02,T20,S008,5062.730236,饮用水,7200.0,,0.0
S009-FOD-01,T22,S009,5613.380893,应急食品,14400.0,,0.0
S009-MED-01,T22,S009,5613.380893,医疗物资,10800.0,10800.0,0.0
S009-WAT-01,T22,S009,5613.380893,饮用水,10800.0,10800.0,0.0
S010-FOD-01,T14,S010,2595.698775,应急食品,7200.0,,0.0
S010-MED-01,T14,S010,2595.698775,医疗物资,3600.0,3600.0,0.0
S010-WAT-01,T14,S010,2595.698775,饮用水,3600.0,3600.0,0.0
S011-FOD-01,T17,S011,3972.248794,应急食品,14400.0,,0.0
S011-MED-01,T17,S011,3972.248794,医疗物资,10800.0,10800.0,0.0
S011-WAT-01,T17,S011,3972.248794,饮用水,10800.0,10800.0,0.0
S012-FOD-01,T03,S012,1334.475037,应急食品,7200.0,,0.0
S012-MED-01,T07,S012,1656.233093,医疗物资,7200.0,3600.0,0.0
S012-WAT-01,T03,S012,1334.475037,饮用水,3600.0,3600.0,0.0
S013-FOD-01,T11,S013,1062.769496,应急食品,7200.0,,0.0
S013-MED-01,T11,S013,1062.769496,医疗物资,3600.0,3600.0,0.0
S013-WAT-01,T11,S013,1062.769496,饮用水,3600.0,3600.0,0.0
S014-FOD-01,T09,S014,1242.434875,应急食品,7200.0,,0.0
S014-MED-01,T09,S014,1242.434875,医疗物资,7200.0,3600.0,0.0
S014-WAT-01,T09,S014,1242.434875,饮用水,3600.0,3600.0,0.0
S015-FOD-01,T23,S015,5049.147532,应急食品,14400.0,,0.0
S015-MED-01,T19,S015,5385.122152,医疗物资,7200.0,7200.0,0.0
S015-WAT-01,T23,S015,5049.147532,饮用水,10800.0,10800.0,0.0
