行,列,经度,纬度,悬停海拔_m,覆盖服务区
432,681,109.22208333333333,23.104583333333334,694.4320373535156,S002、S008
432,687,109.22375,23.104583333333334,669.1238403320312,S002、S008
432,693,109.22541666666666,23.104583333333334,714.4713745117188,S002、S005、S008、S009
432,699,109.22708333333334,23.104583333333334,737.870361328125,S002、S005、S008、S009
432,705,109.22875,23.104583333333334,711.0970764160156,S002、S005、S008、S009
432,771,109.24708333333334,23.104583333333334,662.4830017089844,S004、S008
432,789,109.25208333333333,23.104583333333334,692.0592956542969,S002、S004、S008、S009
432,795,109.25375,23.104583333333334,708.8240661621094,S004、S008、S009
432,801,109.25541666666666,23.104583333333334,743.7922973632812,S004、S008、S009
432,807,109.25708333333333,23.104583333333334,744.8360900878906,S004、S008、S009
432,813,109.25875,23.104583333333334,738.7663269042969,S004、S008、S009
432,819,109.26041666666667,23.104583333333334,746.7921447753906,S004、S008、S009
432,825,109.26208333333334,23.104583333333334,796.6321716308594,S004、S008、S009
432,831,109.26375,23.104583333333334,787.299072265625,S004、S008、S009
432,837,109.26541666666667,23.104583333333334,849.5128784179688,S004、S008、S009
432,843,109.26708333333333,23.104583333333334,863.919189453125,S002、S004、S008、S009
432,849,109.26875,23.104583333333334,867.3914184570312,S002、S004、S009
432,855,109.27041666666666,23.104583333333334,905.4705200195312,S002、S004、S009
432,939,109.29375,23.104583333333334,933.5239868164062,S002
438,687,109.22375,23.102916666666665,712.9295349121094,S002、S008、S009
438,693,109.22541666666666,23.102916666666665,740.958984375,S002、S005、S008、S009
438,699,109.22708333333334,23.102916666666665,751.7242736816406,S002、S005、S008、S009
438,705,109.22875,23.102916666666665,713.2942199707031,S002、S005、S008、S009
438,777,109.24875,23.102916666666665,708.030029296875,S002、S004、S008、S009
438,783,109.25041666666667,23.102916666666665,725.9811706542969,S002、S004、S008、S009
438,789,109.25208333333333,23.102916666666665,722.4259948730469,S002、S004、S008、S009
438,795,109.25375,23.102916666666665,742.9772033691406,S004、S008、S009
438,801,109.25541666666666,23.102916666666665,765.7538146972656,S002、S004、S008、S009
438,807,109.25708333333333,23.102916666666665,773.1370239257812,S002、S004、S008、S009、S012
438,813,109.25875,23.102916666666665,789.64697265625,S004、S008、S009
438,819,109.26041666666667,23.102916666666665,827.8414916992188,S004、S008、S009、S012
438,825,109.26208333333334,23.102916666666665,864.8676147460938,S004、S008、S009、S012
438,831,109.26375,23.102916666666665,889.6690673828125,S004、S008、S009
438,837,109.26541666666667,23.102916666666665,915.6063232421875,S004、S008、S009
